CardId,Normal,Foil,Name,Set
UNL-061,4,0,Downstage Dramatics,Unleashed
UNL-031,4,0,Combat Experience,Unleashed
UNL-091,4,0,Concentrate,Unleashed
UNL-001,4,0,Arena Kingpin,Unleashed
UNL-111,0,2,Determined Sentry,Unleashed
UNL-190,0,1,Lilting Lullaby,Unleashed
UNL-154,3,0,Crimson Pigeons,Unleashed
UNL-166,2,0,Stalking Wolf,Unleashed
UNL-217,1,0,Trapping Grounds,Unleashed
UNL-072,2,0,Crescent Strike,Unleashed
UNL-092,3,0,Demacian Diplomat,Unleashed
UNL-122,3,0,Crescent Guardian,Unleashed
UNL-062,3,0,Dramatic Visionary,Unleashed
UNL-032,3,0,Double Trouble,Unleashed
UNL-151,4,0,Bandle Soldier,Unleashed
UNL-064,4,0,Fate Weaver,Unleashed
UNL-126,4,0,Megatusk,Unleashed
SFD-053,0,3,Janna - Savior,Spiritforged
SFD-050,0,3,Azir - Ascendant,Spiritforged
OGN-214,1,0,Order Rune,Origins
UNL-020,0,2,Dancing Grenade,Unleashed
UNL-141,0,1,Evelynn - Entrancing,Unleashed
SFD-066,2,0,Frigid Touch,Spiritforged
SFD-034,2,0,Feral Strength,Spiritforged
SFD-167,3,0,Unsung Hero,Spiritforged
SFD-035,4,0,Guardian of the Passage,Spiritforged
SFD-094,2,0,Direwing,Spiritforged
SFD-003,2,0,Blood Rush,Spiritforged
SFD-007,6,0,Gem Jammer,Spiritforged
SFD-211,2,0,Marai Spire,Spiritforged
SFD-002,3,0,Armed Assailant,Spiritforged
SFD-037,3,0,Navori Scout,Spiritforged
SFD-054,0,2,Jax - Unmatched,Spiritforged
SFD-160,6,0,Zaun Punk,Spiritforged
SFD-102,2,0,Hexdrinker,Spiritforged
SFD-100,3,0,Yordle Explorer,Spiritforged
SFD-005,3,0,Detonate,Spiritforged
SFD-156,6,0,Laurent Duelist,Spiritforged
SFD-162,2,0,Blood Money,Spiritforged
SFD-158,3,0,Sandshifter,Spiritforged
SFD-009,3,0,Serrated Dirk,Spiritforged
UNL-170,0,2,Atakhan,Unleashed
SFD-050a,0,1,Azir - Ascendant (Alternate Art),Spiritforged
OGN-042,1,0,Calm Rune,Origins
OGN-166,1,0,Chaos Rune,Origins
UNL-179,0,1,Rift Herald,Unleashed
UNL-024a,0,1,Rengar - Unseen (Alternate Art),Unleashed
UNL-215,1,0,Star Spring,Unleashed
SFD-147,0,1,Downwell,Spiritforged
SFD-105,1,0,Ruin Runner,Spiritforged
SFD-028a,0,1,Lucian - Gunslinger (Alternate Art),Spiritforged
UNL-172,0,1,LeBlanc - Fragmented,Unleashed
SFD-207,2,0,Emperor's Dais,Spiritforged
UNL-176,0,1,Vi - Peacekeeper,Unleashed
SFD-032,3,0,Disarming Rake,Spiritforged
SFD-109,0,1,Akshan - Mischievous,Spiritforged
UNL-120,0,2,Rengar - Trophy Hunter,Unleashed
UNL-113,0,1,Master Yi - Tempered,Unleashed
SFD-145,0,2,Switcheroo,Spiritforged
SFD-048,1,0,Stellacorn Herder,Spiritforged
SFD-206,0,1,Riposte,Spiritforged
UNL-128,3,0,Star-Crossed,Unleashed
SFD-136,1,0,Hard Bargain,Spiritforged
SFD-146,0,2,Vex - Cheerless,Spiritforged
UNL-205,1,0,Abandoned Hall,Unleashed
SFD-113a,0,1,Lucian - Merciless (Alternate Art),Spiritforged
SFD-084,0,2,Jayce - Man of Progress,Spiritforged
SFD-140,0,2,Fizz - Trickster,Spiritforged
SFD-036,6,0,Lonely Poro,Spiritforged
UNL-052,0,1,Nami - Headstrong,Unleashed
UNL-093,2,0,Dragonsoul Sage,Unleashed
SFD-097,2,0,Punch First,Spiritforged
SFD-031,2,0,Desert's Call,Spiritforged
UNL-042,1,0,Back Off,Unleashed
SFD-045,2,0,Not So Fast,Spiritforged
SFD-051,0,2,Guardian Angel,Spiritforged
SFD-115,0,1,Trinity Force,Spiritforged
SFD-196,0,2,Defiant Dance,Spiritforged
UNL-179a,0,1,Rift Herald (Alternate Art),Unleashed
SFD-195,0,1,Irelia - Blade Dancer,Spiritforged
