Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
652959,8926847,Riftbound: League of Legends Trading Card Game,Origins,Morbid Return,,170/298,Common,Near Mint,Normal,0.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652959_in_200x200.jpg
652978,8927037,Riftbound: League of Legends Trading Card Game,Origins,Kayn - Unleashed,,189/298,Rare,Near Mint,Foil,0.28,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652978_in_200x200.jpg
652847,8926022,Riftbound: League of Legends Trading Card Game,Origins,Mageseeker Warden,,070/298,Rare,Near Mint,Foil,0.18,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652847_in_200x200.jpg
652831,8925887,Riftbound: League of Legends Trading Card Game,Origins,Wielder of Water,,055/298,Common,Near Mint,Normal,0.09,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652831_in_200x200.jpg
652796,8925647,Riftbound: League of Legends Trading Card Game,Origins,Blind Fury,,025/298,Rare,Near Mint,Foil,0.16,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652796_in_200x200.jpg
652890,8926357,Riftbound: League of Legends Trading Card Game,Origins,Dr. Mundo - Expert,,109/298,Rare,Near Mint,Foil,0.37,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652890_in_200x200.jpg
653025,8927392,Riftbound: League of Legends Trading Card Game,Origins,Commander Ledros,,231/298,Rare,Near Mint,Foil,0.19,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653025_in_200x200.jpg
652835,8925927,Riftbound: League of Legends Trading Card Game,Origins,Eclipse Herald,,059/298,Uncommon,Near Mint,Normal,0.09,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652835_in_200x200.jpg
652775,8925442,Riftbound: League of Legends Trading Card Game,Origins,Disintegrate,,005/298,Common,Near Mint,Normal,0.11,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652775_in_200x200.jpg
652820,8925777,Riftbound: League of Legends Trading Card Game,Origins,Clockwork Keeper,,044/298,Common,Near Mint,Normal,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652820_in_200x200.jpg
653021,8927357,Riftbound: League of Legends Trading Card Game,Origins,Symbol of the Solari,,227/298,Uncommon,Near Mint,Normal,0.11,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/653021_in_200x200.jpg
653022,8927367,Riftbound: League of Legends Trading Card Game,Origins,Vanguard Helm,,228/298,Uncommon,Near Mint,Normal,0.11,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653022_in_200x200.jpg
652882,8926287,Riftbound: League of Legends Trading Card Game,Origins,Mushroom Pouch,,101/298,Uncommon,Near Mint,Normal,0.11,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652882_in_200x200.jpg
652864,8926112,Riftbound: League of Legends Trading Card Game,Origins,Eager Apprentice,,084/298,Common,Near Mint,Normal,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652864_in_200x200.jpg
652776,8925452,Riftbound: League of Legends Trading Card Game,Origins,Flame Chompers,,006/298,Common,Near Mint,Normal,0.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652776_in_200x200.jpg
653000,8927152,Riftbound: League of Legends Trading Card Game,Origins,Call to Glory,,207/298,Common,Near Mint,Normal,0.17,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/653000_in_200x200.jpg
